"1. Function of the process item - function of the system, sub-system, part element or process",Specification of process item,2. Function of the process step and product characteristic,No.,Requirement / Specification of the process step,Filter code,3. Function of the process work element and process characteristic,Specification of the process work element,1. Failure effect (FE) to next higher level element and/or end user,Severity (S) of FE,Severity (S max) of FE,2. Failure mode (FM) of the focus element,3. Failure cause (FC) of the work element,Current preventive control (PC) for FC,Occurrence (O1) of FC,Current detection control (DC) for FC or FM,Detection (D1) of FC/FM,PFMEA AP1,Action bundle (date),Recommended action,P/D,Name of responsible person,Target completion date,Status,Action taken with pointer to evidence,P/D.1,Completion date,Severity (S),Occurrence (O2),Detection (D2),PFMEA AP2,subject,fmea_id,fmea_type,package,location,SME_Remark,Index,fmea_idx_id
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Glue on die,"Glue bubble burst out during die bonding due to manual handling of glue
[Method_Z8K00018355]",(P) Use glue handling jig when transferring glue from ACR to machine,1,"(D) DAV for selected devices (Camstar route controlled)

(D) 100% Electrical testing

(D) Production Surveillance

(D) 100% post-bond detection",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,35,Z8K00018355_35
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Glue on die,"High dispense pressure
[Method_Z8K00018355]",(P) RMS recipe control,2,"(D) Safe release buyoff per machine conversion/ setup

(D) 100% Electrical testing

(D) Production Surveillance

(D) 100% post-bond detection",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,36,Z8K00018355_36
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Glue on die/Pad,"Glue imprint on die after re-loading LF with attached good die
[Method_Z8K00018355]",(P) Prohibit re-loading LF with attached die,2,"(D) Production Surveilliance

(D) 100% post-bond detection

(D) 100% Electrical testing

(D) VI buyoff after change glue activity",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,37,Z8K00018355_37
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Glue Void,"Clogged nozzle showerhead
[Machine_Z8K00018355]",(P) Defined Showerhead cleaning lifespan,2,"(D) Safe release buyoff per machine conversion/ setup

(D) 100% post-bond detection

(D) Production Surveillance",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,38,Z8K00018355_38
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Glue Void,"Expired glue used
[Material_Z8K00018355]",(P / D) Glue barcode scan,2,"(D) Camstar will prompt error and block the lot (auto DDM lot)

(D) Glue expiry timer counter",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,39,Z8K00018355_39
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Glue Void,"Insufficient gap clearance between dispenser nozzle to lead frame island pad
[Method_Z8K00018355]",(P) RMS parameter control,2,(D) Safe release buyoff per machine conversion/ setup,4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,40,Z8K00018355_40
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Glue bleed,"High dispensing pressure
[Method_Z8K00018355]",(P) RMS recipe control,2,"(D) Safe release buyoff per machine conversion/ setup

(D) 100% post-bond detection

(D) Production Surveillance",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,41,Z8K00018355_41
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Glue bleed,"High Bond Force
[Method_Z8K00018355]",(P) RMS recipe Parameter control,2,"(D) Safe release buyoff per machine conversion/ setup

(D) APC control",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,42,Z8K00018355_42
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"IFX: Yield loss
[Z8K00018355]",7,7,Dent mark on leadframe,"Eccentric cam position out of optimun function range. (ASM platform)
[Machine_Z8K00018355]",(P)Preventive maintainance,2,"(D) Safe release buyoff

(D) Production Surveillance",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,43,Z8K00018355_43
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"IFX: Yield loss
[Z8K00018355]",,,Dent mark on leadframe,"LVDT out of optimun function range. (ASM platform)
[Machine_Z8K00018355]",(P)Preventive maintenance-Yearly / 6 monthly (Z8K00027466),2,"(D) Safe release buyoff per machine conversion/ setup

(D) APC control

(D) Production Surveillance

(D) Machine prompt alarm and stop, 90148 (AD8312)",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,44,Z8K00018355_44
"Function for Effects
[Z8K00018355]",,30 Die Attach Material Dispense,,,,"To dispense die attach material onto the pad  APA - Z8K00056760
[Method_Z8K00018355]
Operator/ Technician will load leadframe to the leadframe input stack loader
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Die attach material on non-defined area,"Insufficient vacuum pressure & holding time
[Machine_Z8K00018355]","(P) Procedural Control

(P) Machine setup / conversion

(P) Machine auto stop",2,"(D) DAV for selected devices (Camstar route controlled)

(D) 100% Visual Inspection

(D) 100% Electrical testing",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,45,Z8K00018355_45
"Function for Effects
[Z8K00018355]",,50 Die pick,1.1.e,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Material_Z8K00018355]
To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Machine_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Tilted die,"Needle exceed life span
[Material_Z8K00018355]",(P) Needle life span control,3,"(D) Needle pick up counter

(D)  Safe release buyoff per machine conversion/ setup",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,46,Z8K00018355_46
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Tilted die,"Dispense chuck levelness
[Machine_Z8K00018355]","(P) Procedural controls

(P) Machine setup / conversion

(P) Preventive maintenance-Yearly / 6 monthly (Z8K00027466)",2,"(D) DAV for selected devices (Camstar route controlled)

(D) Production Surveillance

(D) 100% Electrical testing

(D) 100% Visual Inspection

(D) Intermitent alarm 3008 (AD8312), 40299, 40300 (AD838)

(D)  Safe release buyoff",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,47,Z8K00018355_47
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Missing Die,"Collect exceed life span
[Material_Z8K00018355]",(P) Collect life span control,2,"(D) Collect touch down counter

(D) APC control + Tool stop",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,48,Z8K00018355_48
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Missing Die,"Weak vacuum at pick-up tool / collet
[Machine_Z8K00018355]","(P) Procedural controls

(P) Machine setup / conversion

(P) Preventive Maintenance

(P) Machine auto stop",2,"(D) 100% Electrical testing

(D) 100% Visual Inspection

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,49,Z8K00018355_49
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Missing Die,"Miss chip sensor malfunction
[Machine_Z8K00018355]","(P) Procedural controls

(P) Machine setup / conversion

(P) Preventive maintenance-Yearly / 6 monthly (Z8K00027466)",2,"(D) Machine prompt alarm and stop, 3003 (AD8312), 40237 (AD838)

(D) 100% Electrical testing

(D) Production Surveillance

(D) 100% Visual Inspection

(D) DAV for selected devices (Camstar route controlled)",4,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,50,Z8K00018355_50
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Die Placement,"Die pick up collet offset
[Material_Z8K00018355]",(P) Preventive maintainance,2,"(D) Post-bond 100% detection

(D)  Safe release buyoff",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,51,Z8K00018355_51
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]","8.0
7.0",8,Cracked die,"Ejector needle height setting too high
[Method_Z8K00018355]","(P) Monthly PM

(P) RMS recipe control",3,"(D) APC control + Tool stop

(D) Machine prompt alarm and stop (Intermittent), 8046, 8047 (AD8312), 111080 (AD838)

(D) Production Surveillance

(D) Machine auto stop

(D) DAV for selected devices (Camstar route controlled)

(D) 100% Electrical testing",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,52,Z8K00018355_52
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Cracked die,"Ejector needle velocity setting too high
[Method_Z8K00018355]","(P) Preventive maintainance

(P) RMS recipe control",3,"(D) APC control + Tool stop

(D) Machine prompt alarm and stop (Intermittent), 8046, 8047 (AD8312), 111080 (AD838)

(D) Production Surveillance

(D) Machine auto stop

(D) DAV for selected devices (Camstar route controlled)

(D) 100% Electrical testing",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,53,Z8K00018355_53
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Cracked die,"Bondhead not level.
[Machine_Z8K00018355]","(P) Preventive maintainance

(P) Bondhead overtravel

(P) Rubber type collet",2,"(D) Safe release buyoff

(D) APC control + Tool stop

(D) Machine prompt alarm and stop (Intermittent), 8046, 8047 (AD8312), 111080 (AD838)

(D) Production Surveillance

(D) Machine auto stop

(D) DAV for selected devices (Camstar route controlled)

(D) 100% Electrical testing",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,54,Z8K00018355_54
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Cracked die,"Needle chip off
[Material_Z8K00018355]",(P) Needle life span control,2,"(D) Needle pick up counter

(D) APC control + Tool stop

(D) Machine prompt alarm and stop (Intermittent), 8046, 8047 (AD8312), 111080 (AD838)

(D) Production Surveillance

(D) Machine auto stop

(D) DAV for selected devices (Camstar route controlled)

(D) 100% Electrical testing",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,55,Z8K00018355_55
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Cracked die,"Out of spec input parameter
[Method_Z8K00018355]",(P) RMS recipe control,2,"(D) APC control + Tool stop

(D) Safe release buyoff per machine conversion/ setup

(D) Machine prompt alarm and stop (Intermittent), 8046, 8047 (AD8312), 111080 (AD838)

(D) Production Surveillance

(D) Machine auto stop

(D) DAV for selected devices (Camstar route controlled)

(D) 100% Electrical testing",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,56,Z8K00018355_56
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Cracked die,"Insufficient wafer expansion
[Method_Z8K00018355]",(P) RMS recipe control,2,"(D) APC control + Tool stop

(D) measure die to die gap

(D) Machine prompt alarm and stop (Intermittent), 8046, 8047 (AD8312), 111080 (AD838)

(D) Production Surveillance

(D) Machine auto stop

(D) DAV for selected devices (Camstar route controlled)

(D) 100% Electrical testing",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,57,Z8K00018355_57
"Function for Effects
[Z8K00018355]",,50 Die pick,,,,"To eject the die from foil and perform pick up the die from wafer APA - Z8K00056760
[Method_Z8K00018355]",,"Customer: Electrical / reliability Failure
[Z8K00018355]
IFX: Yield loss
[Z8K00018355]",,,Cracked die,"Weak vacuum at pick-up tool / collet
[Machine_Z8K00018355]","(P) Procedural controls

(P) Machine setup / conversion

(P) Preventive maintenance-Yearly / 6 monthly (Z8K00027466)

(P) Close loop system for weak vacumn detection",2,"(D) Production Surveillance

(D) Machine prompt alarm and stop (Intermittent), 8046, 8047 (AD8312), 111080 (AD838)

(D) Machine auto stop

(D) DAV for selected devices (Camstar route controlled)

(D) 100% Electrical testing",2,L,,,,,,,,,,,,,,Unit Process FMEA of QFP+ Die attach & DA curing,Z8K00018355,Process,All QFP package,Manufacturing-Melaka,,58,Z8K00018355_58
